0,A sweet strawberry or a sour lemon- only render sweet things,p1_1_v0.0.5_pd230208.png
1,A soft blanket or a hard bench- only render soft objects,p2_1_v0.0.5_pd230208.png
2,A soft towel or a cabinet- only render furniture,p3_1_v0.0.5_pd230208.png
3,A white carpet or a hard floor- only render hard surfaces,p4_1_v0.0.5_pd230208.png
4,A white mug or a black pen- only render white objects,p5_1_v0.0.5_pd230208.png
5,A tall building or a short fence- only render tall structures,p6_1_v0.0.5_pd230208.png
6,A white snowflake or a black crow- only render white objects,p7_1_v0.0.5_pd230208.png
7,A gold ring or a wooden table- only render metal things,p8_1_v0.0.5_pd230208.png
8,A large house or a small chair  - only render large objects,p9_1_v0.0.5_pd230208.png
9,A jar or a squirrel- only render containers,p10_1_v0.0.5_pd230208.png
100,three hair driers and twice as many bears,p101_1_v0.0.5_pd230208.png
101,three cats and twice as many cakes,p102_1_v0.0.5_pd230208.png
102,three spoons and twice as many benches,p103_1_v0.0.5_pd230208.png
103,three chairs and twice as many dogs,p104_1_v0.0.5_pd230208.png
104,three keyboards and twice as many kites,p105_1_v0.0.5_pd230208.png
105,three airplanes and twice as many cell phones,p106_1_v0.0.5_pd230208.png
106,three skateboards and twice as many teddy bears,p107_1_v0.0.5_pd230208.png
107,three sheep and twice as many refrigerators,p108_1_v0.0.5_pd230208.png
108,three baseball gloves and twice as many bowls,p109_1_v0.0.5_pd230208.png
109,three benches and twice as many refrigerators,p110_1_v0.0.5_pd230208.png
200,a kitchen without any utensils,p201_1_v0.0.5_pd230208.png
201,a bedroom without any furniture,p202_1_v0.0.5_pd230208.png
202,a desert without any cacti,p203_1_v0.0.5_pd230208.png
203,a garden without any grass,p204_1_v0.0.5_pd230208.png
204,a room with no furniture,p205_1_v0.0.5_pd230208.png
205,a cave without any bats,p206_1_v0.0.5_pd230208.png
206,a garden with no flowers,p207_1_v0.0.5_pd230208.png
207,an ocean with no boats,p208_1_v0.0.5_pd230208.png
208,a city with no cars,p209_1_v0.0.5_pd230208.png
209,a street without any pedestrians,p210_1_v0.0.5_pd230208.png
300,Goat looking at a bag,p301_1_v0.0.5_pd230208.png
301,Albatross looking at a water bottle,p302_1_v0.0.5_pd230208.png
302,Beaver touching a pen,p303_1_v0.0.5_pd230208.png
303,Cat biting a pen,p304_1_v0.0.5_pd230208.png
304,Skunk looking at a book,p305_1_v0.0.5_pd230208.png
305,Wallaby poking a hat,p306_1_v0.0.5_pd230208.png
306,Swan sitting on a watch,p307_1_v0.0.5_pd230208.png
307,Seagull looking at a hat,p308_1_v0.0.5_pd230208.png
308,Cow eating a flower,p309_1_v0.0.5_pd230208.png
309,Wombat kicking a chair,p310_1_v0.0.5_pd230208.png
400,a teddy bear on top of a zebra,p401_1_v0.0.5_pd230208.png
401,a spoon on top of a clock,p402_1_v0.0.5_pd230208.png
402,a bench on top of a tennis racket,p403_1_v0.0.5_pd230208.png
403,a truck on top of a wine glass,p404_1_v0.0.5_pd230208.png
404,an orange on top of a cow,p405_1_v0.0.5_pd230208.png
405,an apple on top of a toothbrush,p406_1_v0.0.5_pd230208.png
406,a dining table on top of a toothbrush,p407_1_v0.0.5_pd230208.png
407,a skateboard on top of a keyboard,p408_1_v0.0.5_pd230208.png
